"","rowSums(Ret[3:nrow(Ret), ] * POS[1:(nrow(POS) - 2), ], na.rm = TRUE)"
"1993-08-09",0.00137444115330914
"1993-08-10",-0.000221656695434499
"1993-08-11",0.00112979598697667
"1993-08-12",0.00170058679600529
"1993-08-13",9.09422870652866e-05
"1993-08-16",0.000846856248457233
"1993-08-17",-0.000892063745798204
"1993-08-18",0.000175096967837207
"1993-08-19",-0.000600015263067835
"1993-08-20",-1.18459324035653e-05
"1993-08-23",-0.0012552916884437
"1993-08-24",0.000712612336905514
"1993-08-25",0.000967896415218823
"1993-08-26",0.000444795395043216
"1993-08-27",-0.000760664968030403
"1993-08-30",-0.000247296304794792
"1993-08-31",0.0015653189740827
"1993-09-01",0.000194224848797937
"1993-09-02",-0.00128745495646569
"1993-09-03",-0.000261968670940153
"1993-09-06",0
"1993-09-07",0.000282415339144867
"1993-09-08",-0.000513051793216062
"1993-09-09",-0.00031573045737621
"1993-09-10",-8.12429583739018e-05
"1993-09-13",-0.0017701369914332
"1993-09-14",0.000451142386112012
"1993-09-15",-0.000301590190585112
"1993-09-16",0.000895697430034591
"1993-09-17",-0.000976063112895119
"1993-09-20",0.000231927289655904
"1993-09-21",0.00173634842813447
"1993-09-22",-0.00156591238920707
"1993-09-23",-0.000236357800905282
"1993-09-24",5.95040233595793e-06
"1993-09-27",0.000486777428108349
"1993-09-28",0.000867485738567069
"1993-09-29",0.000150128480396196
"1993-09-30",-9.14103185536223e-05
"1993-10-01",0.000513084699034118
"1993-10-04",0.000891361878462022
"1993-10-05",0.000271486743157693
"1993-10-06",0.000506182977993472
"1993-10-07",0.000818090366270472
"1993-10-08",3.09914600555029e-05
"1993-10-11",0.000116651497930289
"1993-10-12",0.00115173435213868
"1993-10-13",-0.000318570405945182
"1993-10-14",-0.000327459680651465
"1993-10-15",9.64912419296139e-05
"1993-10-18",0.000507180008890007
"1993-10-19",-0.000134294772993609
"1993-10-20",0.000707050126815116
"1993-10-21",0.00118808182409135
"1993-10-22",-0.000741964465788309
"1993-10-25",-8.29397333290468e-05
"1993-10-26",-0.000616403250510587
"1993-10-27",0.000357612907339912
"1993-10-28",-0.000887809741275792
"1993-10-29",0.000760205956866274
"1993-11-01",-0.00110138165961141
"1993-11-02",0.000974672940629699
"1993-11-03",0.000745928256933999
"1993-11-04",0.000793594341875746
"1993-11-05",0.000783330087343894
"1993-11-08",-0.000741233816603885
"1993-11-09",-0.000117001901382973
"1993-11-10",0.00224579788427721
"1993-11-11",0.00117502269754014
