"","rowSums(Ret[3:nrow(Ret), ] * POS[1:(nrow(POS) - 2), ], na.rm = TRUE)"
"1993-08-09",-0.00104299908909086
"1993-08-10",0.000785512023854606
"1993-08-11",7.2677951726455e-05
"1993-08-12",0.000286046856792362
"1993-08-13",0.000624310714666261
"1993-08-16",0.000545383400855078
"1993-08-17",-0.000452581395154314
"1993-08-18",0.00119759986201872
"1993-08-19",-0.000308306672968632
"1993-08-20",0.000172481489619458
"1993-08-23",-0.0014385340330761
"1993-08-24",0.000874774556024881
"1993-08-25",0.000730256680540119
"1993-08-26",0.000116740375192046
"1993-08-27",-0.00142138087553216
"1993-08-30",6.92047860017801e-05
"1993-08-31",0.00160185570806722
"1993-09-01",0.00012139533900134
"1993-09-02",0.000968387163872239
"1993-09-03",-1.74202423169143e-05
"1993-09-06",0
"1993-09-07",0.0016320899595993
"1993-09-08",-0.0011705988766979
"1993-09-09",-6.38959189944963e-05
"1993-09-10",0.00051328972926754
"1993-09-13",-0.00165279662136258
"1993-09-14",0.000463248089498781
"1993-09-15",0.00122080074407235
"1993-09-16",0.000505377249011701
"1993-09-17",-0.00153901325134782
"1993-09-20",-0.000439305648552747
"1993-09-21",0.00243047594025028
"1993-09-22",-0.0014072538726323
"1993-09-23",-0.000701870739232665
"1993-09-24",0.000155227441408474
"1993-09-27",-0.000246110041450346
"1993-09-28",0.000454227697649542
"1993-09-29",-0.000454250839583547
"1993-09-30",0.000260667867883663
"1993-10-01",0.00143148475094159
"1993-10-04",0.00115919096834781
"1993-10-05",0.000261737617174192
"1993-10-06",0.00145353717777378
"1993-10-07",0.000431263300953342
"1993-10-08",-0.0010494393828165
"1993-10-11",-0.00138903393444292
"1993-10-12",0.00221680255708635
"1993-10-13",-0.000363984660800911
"1993-10-14",0.000249082727297163
"1993-10-15",0.000410149723117338
"1993-10-18",0.00237909388611874
"1993-10-19",-0.000557512053023585
"1993-10-20",0.000484699173404051
"1993-10-21",0.000377380194204144
"1993-10-22",0.000863489476486404
"1993-10-25",0.00135544590377583
"1993-10-26",-0.000468354185972443
"1993-10-27",-6.95495234720434e-05
"1993-10-28",0.000392165855528933
"1993-10-29",0.000767120149356719
"1993-11-01",-0.00223597936603103
"1993-11-02",0.0015216819663836
"1993-11-03",0.000103149955871876
"1993-11-04",0.000859154815043629
"1993-11-05",0.00255343438119985
